Date;Time;M01 WIND SPEED (AVG);Pyranometer 0 - 2000 W/m² (AVG); Precipitation (SUM);Daily ETo (SUM); Rain Duration (SUM); Barometric Pressure (AVG); Temperature (AVG); Relative Humidity (AVG);WIND DIRECTION (AVG)
2/11/2020;0:00:00;6.3;154.4;75.0;97.14;5837.8;896.2;16.7;69.7;191.4
2/12/2020;0:00:00;*;*;*;16.97;6208.9;*;*;*;*
1/1/2021;0:00:00;*;*;*;17.05;1340.4;*;*;*;*
31/1/2021;0:00:00;*;*;*;*;*;*;*;*;*
2/3/2021;0:00:00;*;*;*;21.11;1766.4;*;*;*;*
1/4/2021;0:00:00;*;*;*;13.54;1333.7;*;*;*;*
1/5/2021;0:00:00;*;*;*;58.47;0.6;*;*;*;*
31/5/2021;0:00:00;*;*;*;*;*;*;*;*;*
30/6/2021;0:00:00;*;*;*;2.45;0.0;*;*;*;*
30/7/2021;0:00:00;*;*;*;0.00;0.0;*;*;*;*
29/8/2021;0:00:00;*;*;*;7.20;0.0;*;*;*;*
28/9/2021;0:00:00;12.6;312.5;0.0;27.32;0.0;894.0;23.7;46.2;207.6
28/10/2021;0:00:00;*;*;*;15.63;18.0;*;*;*;*
27/11/2021;0:00:00;5.7;130.3;30.0;8.28;644.4;896.4;12.8;82.3;285.6
27/12/2021;0:00:00;6.7;101.0;10.8;8.08;363.9;895.4;11.9;81.6;281.8
26/1/2022;0:00:00;*;87.0;93.8;4.29;1445.9;890.7;6.0;86.6;*
25/2/2022;0:00:00;*;85.7;80.2;4.61;1387.6;891.6;3.4;88.2;*
27/3/2022;0:00:00;*;124.4;90.9;5.29;955.5;891.9;5.5;80.4;*
26/4/2022;0:00:00;*;126.8;39.6;5.83;912.8;893.5;2.6;85.2;*
26/5/2022;0:00:00;*;269.5;1.8;18.05;65.0;891.1;14.0;49.6;*
25/6/2022;0:00:00;*;295.9;10.1;24.62;121.9;894.5;16.1;57.5;*
25/7/2022;0:00:00;*;318.8;3.4;29.20;60.0;892.8;19.9;63.8;*
24/8/2022;0:00:00;*;337.1;1.1;35.20;61.0;892.8;20.8;56.6;*
23/9/2022;0:00:00;*;281.4;18.6;35.05;147.1;891.0;20.8;69.6;*
23/10/2022;0:00:00;*;234.2;13.4;28.12;304.0;893.7;18.8;65.3;*
22/11/2022;0:00:00;*;145.3;148.9;16.96;1852.4;896.3;13.7;77.7;*
22/12/2022;0:00:00;*;121.6;57.5;13.50;755.9;894.1;10.9;75.5;*
21/1/2023;0:00:00;*;94.9;33.4;10.59;774.1;896.1;9.5;81.6;*
20/2/2023;0:00:00;*;104.4;52.2;12.22;1075.1;893.8;6.4;83.0;*
22/3/2023;0:00:00;*;130.6;37.8;12.86;1031.7;896.0;3.9;82.7;*
21/4/2023;0:00:00;*;159.3;74.2;17.46;1244.8;889.6;8.8;73.9;*
21/5/2023;0:00:00;*;203.6;39.4;26.15;670.0;889.6;10.3;73.6;*
20/6/2023;0:00:00;*;216.2;33.0;31.77;915.4;891.7;13.4;77.2;*
20/7/2023;0:00:00;*;303.0;30.7;50.41;385.0;891.9;18.3;71.4;*
19/8/2023;0:00:00;*;340.7;0.0;63.68;0.0;893.8;24.1;51.1;*
18/9/2023;0:00:00;*;302.8;0.0;62.32;0.0;892.2;22.1;63.0;*
18/10/2023;0:00:00;*;198.6;17.1;38.69;247.0;893.5;19.1;68.3;*
17/11/2023;0:00:00;*;175.6;0.3;33.33;13.6;896.0;16.2;72.1;*
17/12/2023;0:00:00;*;128.7;45.8;23.43;896.0;892.6;13.5;72.5;*
16/1/2024;0:00:00;*;89.3;110.5;14.77;2249.9;894.0;9.3;82.7;*
15/2/2024;0:00:00;*;80.1;271.6;13.89;4490.1;893.3;6.5;85.3;*
16/3/2024;0:00:00;*;102.5;243.5;17.78;3476.2;893.5;7.4;78.7;*
15/4/2024;0:00:00;*;172.8;28.0;31.45;788.6;891.7;9.1;77.1;*
